title,stars,text,cleaned_text
Government Teaching Hospital Shahdara,3,"In this hospital,staf are good.
This hospital is good and cheap price.","in this hospital,staf are good. this hospital is good and cheap price."
Government Teaching Hospital Shahdara,1,Doctors does  not come on time and mostly absent from their duty,doctors does not come on time and mostly absent from their duty
Government Teaching Hospital Shahdara,3,It’s good if there is any reference in hospital…😃arrogant staff,its good if there is any reference in hospitalarrogant staff
Government Teaching Hospital Shahdara,4,"Recommended for treatment but you have to wait for hours for your turn. Otherwise nice building, good doctors and neat and clean atmosphere. But patients have to wait hours as there is always every hour is rush hour.","recommended for treatment but you have to wait for hours for your turn. otherwise nice building, good doctors and neat and clean atmosphere. but patients have to wait hours as there is always every hour is rush hour."
Government Teaching Hospital Shahdara,5,I am very impressed Dr and staf nurses ،ledy guard and spacial thanks copretive Dr Rao amir saleem medical supardent hospital shehdhra lhore,i am very impressed dr and staf nurses ledy guard and spacial thanks copretive dr rao amir saleem medical supardent hospital shehdhra lhore
Government Teaching Hospital Shahdara,3,A reasonable government institution and Services  I personally satisfied with the standard of cleaning,a reasonable government institution and services i personally satisfied with the standard of cleaning
Government Teaching Hospital Shahdara,3,"A huge number of patients from all over Shahdara and surroundings visit for medical Facilities but shortage of doctors is causing problems for public, long waiting for outdoor check up, Govt need to upgrade equipments and increase Human Resources to improve services to comm people.","a huge number of patients from all over shahdara and surroundings visit for medical facilities but shortage of doctors is causing problems for public, long waiting for outdoor check up, govt need to upgrade equipments and increase human resources to improve services to comm people."
Mayo Hospital,1,"Long waiting, visiting hospital is like solving puzzles… zero cleaning","long waiting, visiting hospital is like solving puzzles zero cleaning"
Mayo Hospital,1,"Visited first time and disappointed, came all the way from attock to discuss co-ablation process for my father but they didn’t have pancreas treatment yet and on social they were claiming that they have treatment for any kind of cancer patient,
well their doctor said they have treatment for only patient with Liver,lungs,kidney and breast cancer if it’s on stage one and the size not more than 3mm,
People are coming from everywhere wasting their time and energy.","visited first time and disappointed, came all the way from attock to discuss co-ablation process for my father but they didnt have pancreas treatment yet and on social they were claiming that they have treatment for any kind of cancer patient, well their doctor said they have treatment for only patient with liver,lungs,kidney and breast cancer if its on stage one and the size not more than 3mm, people are coming from everywhere wasting their time and energy."
Mayo Hospital,1,"Worst experience, disrespectful and unprofessional doctor of opT ., local language , gutter minded words and illiterate attitude towards patients","worst experience, disrespectful and unprofessional doctor of opt ., local language , gutter minded words and illiterate attitude towards patients"
Mayo Hospital,4,"Almost all facilities there.
Well experienced doctors there.",almost all facilities there. well experienced doctors there.
Mayo Hospital,4,"Mayo Hospital Lahore, established in 1871, is one of the oldest and largest public sector hospitals in Pakistan. Located adjacent to King Edward Medical University, it plays a critical role in the healthcare system of Punjab. With over 2,400 beds, the hospital provides a wide range of medical and surgical services to thousands of patients daily. It serves not only as a treatment center but also as a major teaching hospital for medical students and trainees from all over the country. The hospital is known for its commitment to offering free medical care to patients, including diagnostic and treatment services, which makes it a vital institution for low-income individuals.

Despite its vast scope, Mayo Hospital faces several challenges. The large influx of patients often leads to overcrowding in wards and emergency units. Staff members, while generally dedicated and hardworking, are sometimes overwhelmed by the sheer volume of cases, which can result in long waiting times and occasional lapses in care. The infrastructure of the hospital, although historic and iconic, requires consistent maintenance and upgrading to keep pace with modern healthcare needs. Some departments are better equipped than others, and the quality of service may vary depending on the area and time of visit.","mayo hospital lahore, established in 1871, is one of the oldest and largest public sector hospitals in pakistan. located adjacent to king edward medical university, it plays a critical role in the healthcare system of punjab. with over 2,400 beds, the hospital provides a wide range of medical and surgical services to thousands of patients daily. it serves not only as a treatment center but also as a major teaching hospital for medical students and trainees from all over the country. the hospital is known for its commitment to offering free medical care to patients, including diagnostic and treatment services, which makes it a vital institution for low-income individuals. despite its vast scope, mayo hospital faces several challenges. the large influx of patients often leads to overcrowding in wards and emergency units. staff members, while generally dedicated and hardworking, are sometimes overwhelmed by the sheer volume of cases, which can result in long waiting times and occasional lapses in care. the infrastructure of the hospital, although historic and iconic, requires consistent maintenance and upgrading to keep pace with modern healthcare needs. some departments are better equipped than others, and the quality of service may vary depending on the area and time of visit."
Government Teaching Hospital Shahdara,4,"Everything was good in the hospital. The staff and doctors are cooperative. I'm giving 4 star because of this. The only issue in this hospital is the cleanliness. Bugs are wandering around the beds, they must use some type of spray or insect killer so that the patients can sleep without any hesitation.","everything was good in the hospital. the staff and doctors are cooperative. i'm giving 4 star because of this. the only issue in this hospital is the cleanliness. bugs are wandering around the beds, they must use some type of spray or insect killer so that the patients can sleep without any hesitation."
Government Teaching Hospital Shahdara,4,"Above than average, very well equipped, neat & clean hospital, have ability to handle critical cases voluntarily supervised by professional doctors. A little bit struggle required to fulfill documentation work. Staff behaves usual like other government organizations. Overall good.
Recommended.","above than average, very well equipped, neat clean hospital, have ability to handle critical cases voluntarily supervised by professional doctors. a little bit struggle required to fulfill documentation work. staff behaves usual like other government organizations. overall good. recommended."
Government Teaching Hospital Shahdara,4,Intensive care unit of shahdara area,intensive care unit of shahdara area
Mayo Hospital,1,Staff and employees behaviour not good?,staff and employees behaviour not good?
Mayo Hospital,1,"Miyo Hospital is one of the worst hospitals I’ve ever encountered. The staff and doctors are extremely unprofessional and disrespectful. They do not treat patients with care or urgency, especially in critical situations. My father passed away due to their negligence. Even in an emergency, they wasted 30–40 minutes  instead of starting immediate treatment. The doctors showed no urgency or compassion, and even the security guards were rude and unhelpful. If you care about your loved ones, do not take them to this hospital. Their behavior and attitude can cost lives. Absolutely not recommended.","miyo hospital is one of the worst hospitals ive ever encountered. the staff and doctors are extremely unprofessional and disrespectful. they do not treat patients with care or urgency, especially in critical situations. my father passed away due to their negligence. even in an emergency, they wasted 3040 minutes instead of starting immediate treatment. the doctors showed no urgency or compassion, and even the security guards were rude and unhelpful. if you care about your loved ones, do not take them to this hospital. their behavior and attitude can cost lives. absolutely not recommended."
Government Teaching Hospital Shahdara,1,Slow service.. Actually  patient boht zayada han or staff/ windows boht km han. Lack of medical staff. Sitting b na hony k brabr h k 60% public khari rhti,slow service.. actually patient boht zayada han or staff windows boht km han. lack of medical staff. sitting b na hony k brabr h k 60 public khari rhti
Government Teaching Hospital Shahdara,5,Very good first aid in shahdra people 24/hours doctor sttaf in duty .good,very good first aid in shahdra people 24hours doctor sttaf in duty .good
Government Teaching Hospital Shahdara,2,As the government hospitals are it is more crowded and staff behaviour is non professional,as the government hospitals are it is more crowded and staff behaviour is non professional
Mayo Hospital,5,"Old Vintage Crowded with Patients and with their Caretakers , one of the biggest of Asia 🌏","old vintage crowded with patients and with their caretakers , one of the biggest of asia"
Mayo Hospital,1,The doctor there grabbed my sister's arm so tightly that it left a mark on her arm,the doctor there grabbed my sister's arm so tightly that it left a mark on her arm
Mayo Hospital,4,THIS IS NOW NOT A GOVERNMENT HOSPITAL.,this is now not a government hospital.
Mayo Hospital,1,Bad experience staff not trained Dr not trained bemari Kuch btae or medicine koe or da di,bad experience staff not trained dr not trained bemari kuch btae or medicine koe or da di
Government Teaching Hospital Shahdara,3,Very good first-aid point for the people of shahdra it's 24/7 serving doctor and nurses helping people to save their lives 👍,very good first-aid point for the people of shahdra it's 247 serving doctor and nurses helping people to save their lives
Government Teaching Hospital Shahdara,5,As usual like others public hospital,as usual like others public hospital
Government Teaching Hospital Shahdara,5,Good doctor and sttaf both doors,good doctor and sttaf both doors
Government Teaching Hospital Shahdara,5,Basic health facility for poor people,basic health facility for poor people
Government Teaching Hospital Shahdara,3,The hospital is okay. Like every government hospital.,the hospital is okay. like every government hospital.
Government Teaching Hospital Shahdara,2,"Helpline staff is the worst thing about it.
Beside its all okay",helpline staff is the worst thing about it. beside its all okay
Government Teaching Hospital Shahdara,5,Government hospitals are now getting fine. Thank you so much Imran Khan for your reactions for the development of government hospitals.,government hospitals are now getting fine. thank you so much imran khan for your reactions for the development of government hospitals.
Government Teaching Hospital Shahdara,3,Some doctors assistant behavior are so ugly and they bullying,some doctors assistant behavior are so ugly and they bullying
Mayo Hospital,5,Very good facility excellent nursing staff and economical.,very good facility excellent nursing staff and economical.
Mayo Hospital,4,"As I Went to eye department building , for a very serious case ..
Thanks to Allah we got treatment ..
& doctors were very very *compitant* , *efficient*, *cooperative* and polite .. but few things management must pay attention
1- why main reception counters were vacant..?
2- why lower staff was not wearing identity cards or uniforms ..?
3- staff designations were not clear.
4- only stick holders (may be on duty  guards) were guiding where to go to consult a doc.
5- There was no complaint box / counter.
6- Only one person named idrees and one of his colleagues I must mention sick minded and ill mannered sitting out at room 6 door eye department & was shouting at patients had extremely bad behaviour.
Such people must be tackled they cause damage to repute of institutes and things get out of control and apparently look unorganized.
7- there was nobody to check *behaviour* of
workers staff.
Renovation was on so no more comments over cleanliness & infrastructure ..
May Allah bless our institutes with grace and usefulness.  ⭐","as i went to eye department building , for a very serious case .. thanks to allah we got treatment .. doctors were very very compitant , efficient, cooperative and polite .. but few things management must pay attention 1- why main reception counters were vacant..? 2- why lower staff was not wearing identity cards or uniforms ..? 3- staff designations were not clear. 4- only stick holders may be on duty guards were guiding where to go to consult a doc. 5- there was no complaint box counter. 6- only one person named idrees and one of his colleagues i must mention sick minded and ill mannered sitting out at room 6 door eye department was shouting at patients had extremely bad behaviour. such people must be tackled they cause damage to repute of institutes and things get out of control and apparently look unorganized. 7- there was nobody to check behaviour of workers staff. renovation was on so no more comments over cleanliness infrastructure .. may allah bless our institutes with grace and usefulness."
Mayo Hospital,5,Punjab government has done a very good job.,punjab government has done a very good job.
Mayo Hospital,4,Neat and clean environment well behaved staff and the best doctors,neat and clean environment well behaved staff and the best doctors
Government Teaching Hospital Shahdara,1,BSN generic seats are available or not for boy's??? if available plz share some information about tbis and also provide procedure about the admission form...,bsn generic seats are available or not for boy's??? if available plz share some information about tbis and also provide procedure about the admission form...
Government Teaching Hospital Shahdara,1,Wrong diagnosis... and mostly patients are wrong treated,wrong diagnosis... and mostly patients are wrong treated
Government Teaching Hospital Shahdara,5,Government hospital with new building and staff lots of facilities include MRI and cts scans along with x Ray's,government hospital with new building and staff lots of facilities include mri and cts scans along with x ray's
Government Teaching Hospital Shahdara,5,Good hospital for the masses govt own. Emergency and 24/7 here in Shahdara. G.T road.,good hospital for the masses govt own. emergency and 247 here in shahdara. g.t road.
Government Teaching Hospital Shahdara,5,This hospital provide primary and secondary health care to nearby population and helping poor public very well. I recommend this hospital for public.,this hospital provide primary and secondary health care to nearby population and helping poor public very well. i recommend this hospital for public.
Government Teaching Hospital Shahdara,1,"Male staff appointed in female chekup rooms. Eg. Ultrasound rooms, door guards, etc. I fully recumended that the female staff opointed on these rooms and staff treat the patient with good behavior .....
SHOAIB AHMAD BHATTI JC (LDC) AT SESSION / DISTRICT COURTS LAHORE.","male staff appointed in female chekup rooms. eg. ultrasound rooms, door guards, etc. i fully recumended that the female staff opointed on these rooms and staff treat the patient with good behavior ..... shoaib ahmad bhatti jc ldc at session district courts lahore."
Government Teaching Hospital Shahdara,5,Beautiful View.. Back Side.. Architects Beauty 😍😍,beautiful view.. back side.. architects beauty
Government Teaching Hospital Shahdara,4,"Newly built & bigger hospital in this area, large numbers of patients come here for outdoor checkup, around 2000 to 2500 people’s come daily routine checkup. Most of wards are very good & equipped with latest machines, peoples facing problems in some ward due to lack of staff. Doctors & paramedics staff are well trained & helps them. New building for nurses & paramedics has ready to operational.","newly built bigger hospital in this area, large numbers of patients come here for outdoor checkup, around 2000 to 2500 peoples come daily routine checkup. most of wards are very good equipped with latest machines, peoples facing problems in some ward due to lack of staff. doctors paramedics staff are well trained helps them. new building for nurses paramedics has ready to operational."
Mayo Hospital,5,Mayo hospital new surgical Tower and other options very well thanks for government of Punjab is very good options poor peoples and free help around about Punjab and overall Pakistani,mayo hospital new surgical tower and other options very well thanks for government of punjab is very good options poor peoples and free help around about punjab and overall pakistani
Mayo Hospital,5,"MaYo Hospital Lahore Is A great Hospital For Treatments, Surgeries, Chemotherapy treatments, Cardiology/ heart Treatments , And Radiotherapies.
Cardiology Department Of Mayo Hospital Is Very Setup And with Very Good And Cooperative Staff.","mayo hospital lahore is a great hospital for treatments, surgeries, chemotherapy treatments, cardiology heart treatments , and radiotherapies. cardiology department of mayo hospital is very setup and with very good and cooperative staff."
Mayo Hospital,5,Best treatment Hospital and provide Butter facility than others hospital at Lahore,best treatment hospital and provide butter facility than others hospital at lahore
Mayo Hospital,5,Good service and cooperative Doctors and nurses,good service and cooperative doctors and nurses
Mayo Hospital,5,I salute the staff and doctors. They are doing great in the resources they are provided. Very good behavior with everyone. May Allah bless everyone on earth. 🙂,i salute the staff and doctors. they are doing great in the resources they are provided. very good behavior with everyone. may allah bless everyone on earth.
Mayo Hospital,1,Parking fees double at night. Bathrooms are dirty as hell. No soap no hand wash. No nothing. Staff is also not cooperative. Rude and unethical. Not recommended. Rather you should prefer private hospitals if you can afford it. They are worth the money.,parking fees double at night. bathrooms are dirty as hell. no soap no hand wash. no nothing. staff is also not cooperative. rude and unethical. not recommended. rather you should prefer private hospitals if you can afford it. they are worth the money.
Mayo Hospital,2,Not proper facilities to give patients,not proper facilities to give patients
Government Teaching Hospital Shahdara,5,It's a gift from Youasf Raza Gallani Shahdara Peoples,it's a gift from youasf raza gallani shahdara peoples
Government Teaching Hospital Shahdara,3,"In this hospital only have Cleanliness. Still lack of proper machinery, beds and staff. Staff and doctors of this hospital are incorporate.","in this hospital only have cleanliness. still lack of proper machinery, beds and staff. staff and doctors of this hospital are incorporate."
Government Teaching Hospital Shahdara,5,This hospital is at very good location.. and good for those who can't go lahore in emergency bacause of traffic problems..,this hospital is at very good location.. and good for those who can't go lahore in emergency bacause of traffic problems..
Government Teaching Hospital Shahdara,2,Good hospital for Shahdara people but lack of staff and equipment,good hospital for shahdara people but lack of staff and equipment
Government Teaching Hospital Shahdara,3,It is just ok there no enough staff is available,it is just ok there no enough staff is available
Government Teaching Hospital Shahdara,4,A teaching hospital with good standard.,a teaching hospital with good standard.
Government Teaching Hospital Shahdara,5,"It is a great hospital developed by the Government of Punjab, to serve the community arround.","it is a great hospital developed by the government of punjab, to serve the community arround."
Government Teaching Hospital Shahdara,3,"No doubt Punjab government is working so hard to make the people if this area reach easily where ever they want. And we had no problem by reaching at this hospital.
Hospital building is good and it may have more than 30 rooms, in this rural area this size of hospital is okay. On other point services are worse doctors and staff don't have any idea of hospitality, care and love. They just try to do their job by speaking harsh with patients and their attendants. Lab and operation theater staff was busy in mobiles, so were the doctors. Doctors were busy in chit chat, they don't even bothered to walk to the patient, they were sitting on their chairs and not even tried to speak with patient. Overall worse experience","no doubt punjab government is working so hard to make the people if this area reach easily where ever they want. and we had no problem by reaching at this hospital. hospital building is good and it may have more than 30 rooms, in this rural area this size of hospital is okay. on other point services are worse doctors and staff don't have any idea of hospitality, care and love. they just try to do their job by speaking harsh with patients and their attendants. lab and operation theater staff was busy in mobiles, so were the doctors. doctors were busy in chit chat, they don't even bothered to walk to the patient, they were sitting on their chairs and not even tried to speak with patient. overall worse experience"
Government Teaching Hospital Shahdara,3,Nothing to praise about this hospital 😒😒,nothing to praise about this hospital
Mayo Hospital,5,"One of the best hospitals in Lahore. When a poor patient can't afford costly medication. Myo hospital is there to serve for everyone either he is rich or poor.

Outstanding free OPD.",one of the best hospitals in lahore. when a poor patient can't afford costly medication. myo hospital is there to serve for everyone either he is rich or poor. outstanding free opd.
United Christian Hospital,4,"A good hospital in its category.
Healthcare worldwide is not cheap but they r doing a good job, especially pvt clinics","a good hospital in its category. healthcare worldwide is not cheap but they r doing a good job, especially pvt clinics"
United Christian Hospital,5,"I visited here for my late brother..
He had kidney issues...",i visited here for my late brother.. he had kidney issues...
United Christian Hospital,1,Worst ever hospital please do not go there if you want more information contact me personally,worst ever hospital please do not go there if you want more information contact me personally
United Christian Hospital,1,"I had a terrible experience at United Christian Hospital. I randomly went to the hospital as this was the only one on the way and I urgently required care. I went in for a simple tetanus shot, but the nurse administered it incorrectly, which led to cellulitis in my arm, a high fever, and chest pains. On top of that, basic hygiene protocols were completely ignored—she didn’t sanitize her hands, wear gloves, or clean the injection site properly. This is unacceptable and shows a serious lack of professionalism and patient safety standards. I strongly advise others to be cautious when seeking treatment here. AVOID!! I was later saved by Hameed Latif otherwise I’m not sure what would’ve happened a small tetanus shot turn into something else.","i had a terrible experience at united christian hospital. i randomly went to the hospital as this was the only one on the way and i urgently required care. i went in for a simple tetanus shot, but the nurse administered it incorrectly, which led to cellulitis in my arm, a high fever, and chest pains. on top of that, basic hygiene protocols were completely ignoredshe didnt sanitize her hands, wear gloves, or clean the injection site properly. this is unacceptable and shows a serious lack of professionalism and patient safety standards. i strongly advise others to be cautious when seeking treatment here. avoid!! i was later saved by hameed latif otherwise im not sure what wouldve happened a small tetanus shot turn into something else."
